Title,Conference,Synthetic_Labels
Computer-assisted animation of line and paint in Disney's <i>Paperman</i>.,SIGGRAPH,SIGGRAPH
QoS Routing with Performance-Dependent Costs.,INFOCOM,INFOCOM
A Concurrent Database Manipulation Problem: Binary Search Trees (Abstract).,VLDB,VLDB
A reconfigurable MAC architecture implemented with mixed-Vt standard cell library.,ISCAS,ISCAS
MEMS automotive collision avoidence radar beamformer.,ISCAS,ISCAS
Execution time comparison of lifting-based 2D wavelet transforms implementations on a VLIW DSP.,ISCAS,ISCAS
SPARQL basic graph pattern optimization using selectivity estimation.,WWW,VLDB
A wide-tuning quasi-type-I PLL with voltage-mode frequency acquisition aid.,ISCAS,ISCAS
Animating art history: building a bridge between disciplines.,SIGGRAPH,SIGGRAPH
V-buffer: visible volume rendering.,SIGGRAPH,SIGGRAPH
The Magic of Duplicates and Aggregates.,VLDB,VLDB
Personalized pocket directories for mobile devices.,WWW,INFOCOM
Record Subtype Facilities in Database Systems.,VLDB,VLDB
Illumination in diverse codimensions.,SIGGRAPH,INFOCOM
Joint optimal scheduling and routing for maximum network throughput.,INFOCOM,INFOCOM
A CMOS high IIP2 mixer for multi-standard receivers.,ISCAS,ISCAS
Partitioning and ordering large radiosity computations.,SIGGRAPH,SIGGRAPH
Generalized arbitrary resizing for video transcoding.,ISCAS,SIGGRAPH
On the impact of global information on diffusion of innovations over social networks.,INFOCOM,WWW
Analysis for Signal and Power Integrity Using the Multilayered Finite Difference Method.,ISCAS,ISCAS
Probability Distribution of Blackouts in Complex Power Networks.,ISCAS,INFOCOM
Write-Optimized B-Trees.,VLDB,VLDB
Cross-Regulation-Suppression control scheme for CCM Single-Inductor-Dual-Output buck converter with ordered-power-distributive control.,ISCAS,ISCAS
A New 10 Gbps Traffic Management algorithm for High-speed Networks.,ISCAS,INFOCOM
Bifurcations and chaos in electrostatic vibration energy harvesters.,ISCAS,ISCAS
A proposal of a new blind equalizer using output signals of decision device.,ISCAS,ISCAS
Distributed video coding using wavelet.,ISCAS,SIGGRAPH
Using eye tracking to analyze stereoscopic filmmaking.,SIGGRAPH,SIGGRAPH
Porqpine: A Distributed and Collaborative Search Engine.,WWW,WWW
A time-domain gradient-detection architecture for VLSI analog motion sensors.,ISCAS,ISCAS
High dynamic range imaging using coded electronic shutter.,SIGGRAPH,SIGGRAPH
Automated semantic web services orchestration via concept covering.,WWW,WWW
Incremental Maintenance for Non-Distributive Aggregate Functions.,VLDB,VLDB
A simple modeling of the early voltage of MOSFETs in weak and moderate inversion.,ISCAS,ISCAS
Towards a Common Infrastructure to Support Heterogeneous Learning Experiences.,WWW,INFOCOM
Plurality: a context-aware personalized tagging system.,WWW,WWW
Realistic and Efficient Multi-Channel Communications in Wireless Sensor Networks.,INFOCOM,INFOCOM
Localization in 3D surface sensor networks: Challenges and solutions.,INFOCOM,VLDB
SAT-based ATPG for Path Delay Faults in Sequential Circuits.,ISCAS,ISCAS
Spectrally optimal sampling for distribution ray tracing.,SIGGRAPH,SIGGRAPH
Cloudy: A Modular Cloud Storage System.,VLDB,VLDB
Design of OOK system for wireless capsule endoscopy.,ISCAS,ISCAS
Gesture-world technology: 3D hand pose estimation system for unspecified users using a compact high-speed camera.,SIGGRAPH,SIGGRAPH
Generalizations of Oja's Learning Rule to Non-Symmetric Matrices.,ISCAS,ISCAS
Content-aware caching and traffic management in content distribution networks.,INFOCOM,WWW
FALCON: Feedback Adaptive Loop for Content-Based Retrieval.,VLDB,WWW
Image based flow visualization.,SIGGRAPH,SIGGRAPH
Energy-efficient collaborative sensing with mobile phones.,INFOCOM,INFOCOM
What is the importance of selecting features for non-technical losses identification?,ISCAS,ISCAS
Predictions and Challenges for Database Systems in the Year 2000.,VLDB,VLDB
Coordination in network security games.,INFOCOM,INFOCOM
Enabling entity-based aggregators for web 2.0 data.,WWW,WWW
Energy function based neural networks UPFC for transient stability enhancement of network-preserving power systems.,ISCAS,ISCAS
Real-time simulation in the real world (panel session).,SIGGRAPH,SIGGRAPH
Social search and discovery using a unified approach.,WWW,WWW
Run-Time Programming of Analog Circuits Using Floating-Gate Transistors.,ISCAS,ISCAS
User Interaction Experience for Semantic Web Information.,WWW,WWW
A versatile I/O with robust impedance calibration for various memory interfaces.,ISCAS,ISCAS
The Integrated Microbial Genomes (IMG) System: A Case Study in Biological Data Management.,VLDB,VLDB
The Theory of Probabilistic Databases.,VLDB,VLDB
Design and optimization of two motion detection circuits for video monitoring system.,ISCAS,ISCAS
Realistic and interactive image-based rendering of ancient chinese artifacts using a multiple camera array.,ISCAS,SIGGRAPH
Recovery and Coherency-Control Protocols for Fast Intersystem Page Transfer and Fine-Granularity Locking in a Shared Disks Transaction Environment.,VLDB,VLDB
The V*-Diagram: a query-dependent approach to moving KNN queries.,VLDB,VLDB
Digital RF Processing Techniques for Device Mismatch Tolerant Transmitters in Nanometer-Scale CMOS.,ISCAS,INFOCOM
Cooperative Network Coding-Aware Routing for Multi-Rate Wireless Networks.,INFOCOM,INFOCOM
A logical framework for temporal deductive databases.,VLDB,VLDB
Manage and Query Generic Moving Objects in SECONDO.,VLDB,VLDB
How to reach 100% coding efficiency in multilevel burst-mode RF transmitters.,ISCAS,INFOCOM
Fast Reconfiguration Experiments of an Optically Differential Reconfigurable Gate Array with Nine Configuration Contexts.,ISCAS,ISCAS
Towards a comprehensive and systematic classification of hardware Trojans.,ISCAS,ISCAS
An inductively tuned CMOS astable multivibrator.,ISCAS,ISCAS
"dRig: an artist-friendly, object-oriented approach to rig building.",SIGGRAPH,SIGGRAPH
The web beyond popularity: a really simple system for web scale RSS.,WWW,WWW
A CMOS linear voltage/current dual-mode imager.,ISCAS,ISCAS
Model and Architecture of a Timing Service for Adaptive Policy-Based Management Systems.,INFOCOM,VLDB
Frequency Response Masking based Reconfigurable Channel Filters for Software Radio Receivers.,ISCAS,ISCAS
Partitioning and synthesis for hybrid architecture simulators.,ISCAS,VLDB
A parallel search algorithm for CLNS addition optimization.,ISCAS,ISCAS
Instrumenting a logic programming language to gather provenance from an information extraction application.,WWW,VLDB
SMOOTH - A Distributed Multimedia Database System.,VLDB,VLDB
Loop mitigation in bloom filter based multicast: A destination-oriented approach.,INFOCOM,INFOCOM
Influence of external input on Oscillatory Cellular Nonlinear Networks dynamics.,ISCAS,ISCAS
Efficient design of sparse FIR filters in WLS sense.,ISCAS,ISCAS
A metro map metaphor for guided tours on the Web: the Webvise guided tour system.,WWW,WWW
GPX: Interactive Mining of Gene Expression Data.,VLDB,VLDB
"Video sharing propagation in social networks: Measurement, modeling, and analysis.",INFOCOM,WWW
Variable fractional delay FIR filters with sparse coefficients.,ISCAS,ISCAS
Hexahedral Mesh Re-parameterization from Aligned Base Domains,SIGGRAPH,SIGGRAPH
The largest scholarly semantic network...ever.,WWW,VLDB
iPvlc: pixel-level visible light communication for smart mobile devices.,SIGGRAPH,ISCAS
New FPN correction method for PD-storage dual-capture CMOS image sensor using a nonfully depleted pinned photodiode.,ISCAS,ISCAS
Dissemination of Models over Time-Varying Data.,VLDB,VLDB
Application of two-layered tabu search to optimal allocation of UPFC for maximizing transmission capability.,ISCAS,ISCAS
Enhancing Traffic Sampling scope and efficiency.,INFOCOM,INFOCOM
Low phase noise on-chip oscillator for implantable biomedical applications.,ISCAS,ISCAS
CodePipe: An opportunistic feeding and routing protocol for reliable multicast with pipelined network coding.,INFOCOM,VLDB
On Hybrid Collision Control for IEEE 802.11 Ad-Hoc Networks.,INFOCOM,ISCAS
Challenges and recent advances in IR-UWB system design.,ISCAS,ISCAS
Shape transformation for polyhedral objects.,SIGGRAPH,SIGGRAPH
A flexible generative model for preference aggregation.,WWW,VLDB
Characterizing geospatial dynamics of application usage in a 3G cellular data network.,INFOCOM,WWW
Noise Reduction System Based on LPEF and System Identification with Variable Step Size.,ISCAS,ISCAS
A full-custom design of AES SubByte module with signal independent power consumption.,ISCAS,ISCAS
A time-efficient information collection protocol for large-scale RFID systems.,INFOCOM,INFOCOM
2-MITE Product-of-Power-Law Networks.,ISCAS,ISCAS
Filtering with Approximate Predicates.,VLDB,VLDB
Estimating the prevalence of deception in online review communities.,WWW,WWW
Bounding the power rate function of wireless ad hoc networks.,INFOCOM,INFOCOM
Data Broadcasting and Seamless Channel Transition for Highly-Demanded Videos.,INFOCOM,INFOCOM
MMSE-based design of scaled and offset BP-based decoding algorithms on the fast Rayleigh fading channel.,ISCAS,ISCAS
News in the age of the web.,WWW,WWW
Polygon-assisted JPEG and MPEG compression of synthetic images.,SIGGRAPH,SIGGRAPH
Unsupervised query segmentation using click data: preliminary results.,WWW,WWW
Modeling and understanding TCP incast in data center networks.,INFOCOM,INFOCOM
A Low Jitter CMOS PLL Clock Synthesizer with 20-400 MHz Locking Range.,ISCAS,ISCAS
BSSRDF importance sampling.,SIGGRAPH,SIGGRAPH
Extraction of robust visual phrases using graph mining for image retrieval.,ISCAS,SIGGRAPH
A Singlehop Collaborative Feedback Primitive for Wireless Sensor Networks.,INFOCOM,ISCAS
Highly parallel image coding for many cores.,ISCAS,SIGGRAPH
Protocol-level performance analysis for anti-collision protocols in RFID systems.,ISCAS,INFOCOM
Distance Indexing on Road Networks.,VLDB,VLDB
Reconfigurable cell array for concurrent support of multiple radio standards by flexible mapping.,ISCAS,ISCAS
Creating Competitive Products.,VLDB,WWW
Sensory design for virtual environments.,SIGGRAPH,SIGGRAPH
Optimal Bandwidth Reservation in Hose-Model VPNs with Multi-Path Routing.,INFOCOM,INFOCOM
Optimal Waveband Switching in Optical Ring Networks.,INFOCOM,INFOCOM
Exploiting channel memory for joint estimation and scheduling in downlink networks.,INFOCOM,INFOCOM
Multiuser detection based on Grover's algorithm.,ISCAS,ISCAS
Impact of File Arrivals and Departures on Buffer Sizing in Core Routers.,INFOCOM,INFOCOM
Towards a theory model for product search.,WWW,VLDB
Fourier series analysis of the nonlinearities in analog closed-loop PWM class D amplifiers.,ISCAS,ISCAS
Data fusion - Resolving Data Conflicts for Integration.,VLDB,VLDB
Argus: End-to-end service anomaly detection and localization from an ISP's point of view.,INFOCOM,INFOCOM
Signal modulus design for blind source separation via algebraic known modulus algorithm: A perturbation perspective.,ISCAS,ISCAS
Small-World File-Sharing Communities.,INFOCOM,WWW
Local Disk Caching for Client-Server Database Systems.,VLDB,VLDB
A novel polynomial selection scheme for low-complexity chase algebraic soft-decision reed-solomon decoding.,ISCAS,ISCAS
Autonomous resource provisioning for multi-service web applications.,WWW,WWW
An improved soft BCH decoder with one extra error compensation.,ISCAS,ISCAS
Routing in Overlay Multicast Networks.,INFOCOM,INFOCOM
A Ku-band down-converter with perfect differential PLL in 0.18um CMOS.,ISCAS,ISCAS
The Design of Symmetric Square-Root Pulse-Shaping Filters for Transmitters and Receivers.,ISCAS,ISCAS
Design of concurrent multi-band matching networks.,ISCAS,ISCAS
Just the right amount: extracting modules from ontologies.,WWW,VLDB
Distributed Querying of Internet Distance Information.,INFOCOM,VLDB
Non-causal error control for wireless video streaming with noncoherent signaling.,ISCAS,INFOCOM
Steel life.,SIGGRAPH,N/A (Title does not indicate conference)
A simulation of pearl optical phenomena for cosmetic preproduction.,SIGGRAPH,N/A (Title does not indicate conference)
"The gRNA: A Highly Programmable Infrastructure for Prototyping, Developing and Deploying Genomics-Centric Applications.",VLDB,WWW
Foundations of Uncertain-Data Integration.,VLDB,VLDB
Progressive lossless compression of arbitrary simplicial complexes.,SIGGRAPH,SIGGRAPH
Potter's Wheel: An Interactive Data Cleaning System.,VLDB,VLDB
Revisiting the Absolutely Minimal Realization for Two-dimensional Digital Filters.,ISCAS,ISCAS
Automated synthesis of executable web service compositions from BPEL4WS processes.,WWW,WWW
Online Dynamic Reordering for Interactive Data Processing.,VLDB,VLDB
An Efficient Implementation of a Relational Data Base.,VLDB,VLDB
A Buyers Integration Support System based on Users' Multi Attribute Utilities for Internet Group Buying.,WWW,INFOCOM
Making use of social media data in public health.,WWW,WWW
Designing efficient DSP datapaths through compiler-in-the-loop exploration methodology.,ISCAS,ISCAS
On Integrating Fluid Models with Packet Simulation.,INFOCOM,VLDB
Data versioning techniques for internet transaction management.,WWW,VLDB
Tapered-VTH CMOS buffer design for improved energy efficiency in deep nanometer technology.,ISCAS,ISCAS
Distributed Power Control For Cellular Networks In the Presence of Rayleigh Fading Channel.,INFOCOM,INFOCOM
Autonomous lighting agents in global illumination.,SIGGRAPH,SIGGRAPH
Searching Large Lexicons for Partially Specified Terms using Compressed Inverted Files.,VLDB,SIGGRAPH
The ScratchPad: sensemaking support for the web.,WWW,WWW
Accurate web recommendations based on profile-specific url-predictor neural networks.,WWW,WWW
Tree Pattern Aggregation for Scalable XML Data Dissemination.,VLDB,VLDB
Towards a Deeper Understanding of Link Restoration Algorithms for Mesh Networks.,INFOCOM,INFOCOM
An eye detection technique for clock and data recovery applications.,ISCAS,ISCAS
Comparison of time and frequency domain interpolation implementations for MB-OFDM UWB transmitters.,ISCAS,ISCAS
Tuning parameters of the expected reciprocal rank.,WWW,VLDB
"Prevention of Deadlocks and Livelocks in Lossless, Backpressured Packet Networks.",INFOCOM,INFOCOM
Stable but responsive cloth.,SIGGRAPH,SIGGRAPH
A service creation environment based on end to end composition of Web services.,WWW,WWW
A pMOS-based double-ladder integrated charge pump for standard process.,ISCAS,ISCAS
An alias-locked loop frequency synthesis architecture.,ISCAS,ISCAS
"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions.",VLDB,VLDB
The SAGE graphics architecture.,SIGGRAPH,SIGGRAPH
Temporal Management of RFID Data.,VLDB,VLDB
A new four-modulus RNS to binary converter.,ISCAS,ISCAS
VoteTrust: Leveraging friend invitation graph to defend against social network Sybils.,INFOCOM,WWW
Fast computation of shadow boundaries using spatial coherence and backprojections.,SIGGRAPH,SIGGRAPH
A Converter with Fixed Switching Frequency Adaptive Multi-Mode Control Scheme.,ISCAS,ISCAS
Quality of Field Reconstruction in Sensor Networks.,INFOCOM,INFOCOM
"Interactions, Competition and Innovation in a Service-Oriented Internet: An Economic Model.",INFOCOM,WWW
An asynchronous spike event coding scheme for programmable analog arrays.,ISCAS,ISCAS
CerFix: A System for Cleaning Data with Certain Fixes.,VLDB,VLDB
Optimization for packet routing using chaotic dynamics.,ISCAS,ISCAS
Reducing spurious PLL tones in spectrum sensing architectures.,ISCAS,ISCAS
A piezoelectric actuator driver circuit for automatic focusing of mobile phone cameras.,ISCAS,ISCAS
"Set Containment Joins: The Good, The Bad and The Ugly.",VLDB,VLDB
PixelFlow: high-speed rendering using image composition.,SIGGRAPH,SIGGRAPH
Thermal aware clock synthesis considering stochastic variation and correlations.,ISCAS,ISCAS
Rewriting XPath Queries Using Materialized Views.,VLDB,SIGGRAPH
Effective multi-standard macroblock prediction VLSI design for reconfigurable multimedia systems.,ISCAS,ISCAS
Low-voltage CMOS syllabic-companding log domain filter.,ISCAS,ISCAS
The Unified Logging Infrastructure for Data Analytics at Twitter.,VLDB,VLDB
The Case for Non-Cooperative Multihoming of Users to Access Points in IEEE 802.11 WLANs.,INFOCOM,INFOCOM
P<sup>2</sup>E-DWT: A parallel and pipelined efficient VLSI architecture of 2-D Discrete Wavelet Transform.,ISCAS,ISCAS
ZF-DFE transceiver for time-varying MIMO channels with channel-independent temporal precoder.,ISCAS,ISCAS
Record Linkage with Uniqueness Constraints and Erroneous Values.,VLDB,VLDB
Socially-Aware Network Design Games.,INFOCOM,WWW
UWB LNAs for Ground Penetrating Radar.,ISCAS,ISCAS
Analysis of a Packet Switch with Memories Running at Slower than the Line Rate.,INFOCOM,ISCAS
Design and modeling of on-chip monolithic transformers with patterned ground shield.,ISCAS,ISCAS
A dynamic latched comparator for low supply voltages down to 0.45 V in 65-nm CMOS.,ISCAS,ISCAS
Texture synthesis over arbitrary manifold surfaces.,SIGGRAPH,SIGGRAPH
Generic sensing hardware and real-time reconstruction for structured analog signals.,ISCAS,ISCAS
"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases.",VLDB,VLDB
The Design of GridDB: A Data-Centric Overlay for the Scientific Grid.,VLDB,VLDB
An Experiment in Dedicated Data Management.,VLDB,VLDB
Multi-strategy object tracking in complex situation for video surveillance.,ISCAS,SIGGRAPH
Acquisition of large-scale surface light fields.,SIGGRAPH,SIGGRAPH
Towards a highly-scalable and effective metasearch engine.,WWW,WWW
A Wide Dynamic Range High Linearity In-pixel Data Acquisition Front-end for Computed Tomography.,ISCAS,ISCAS
A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System.,VLDB,VLDB
Warmth through the night.,SIGGRAPH,Cannot be classified
Fighting the bufferbloat: On the coexistence of AQM and low priority congestion control.,INFOCOM,INFOCOM
Extracting Large-Scale Knowledge Bases from the Web.,VLDB,WWW
TELESAR V: TELExistence surrogate anthropomorphic robot.,SIGGRAPH,SIGGRAPH
OntoWiki mobile: knowledge management in your pocket.,WWW,WWW
Fine-grained privilege separation for web applications.,WWW,WWW
Optimality and Scalability in Lattice Histogram Construction.,VLDB,VLDB
Detection of on-chip temperature gradient using a 1.5V low power CMOS temperature sensor.,ISCAS,ISCAS
Inspector Joins.,VLDB,SIGMOD
The utility of tweeted URLs for web search.,WWW,WWW
Many-to-Many Communication: A New Approach for Collaboration in MANETs.,INFOCOM,INFOCOM
Feature-based cellular texturing for architectural models.,SIGGRAPH,SIGGRAPH
Massive Stochastic Testing of SQL.,VLDB,VLDB
"Artificial fishes: physics, locomotion, perception, behavior.",SIGGRAPH,SIGGRAPH
Smoothing polyhedra using implicit algebraic splines.,SIGGRAPH,SIGGRAPH
An Evaluation on Using Preference Clustering in Large-Scale Multicast Applications.,INFOCOM,INFOCOM
"Optimization method for the joint allocation of modulation schemes, coding rates, resource blocks and power in self-organizing LTE networks.",INFOCOM,INFOCOM
CASIS: a system for concept-aware social image search.,WWW,WWW
Semantic similarity between search engine queries using temporal correlation.,WWW,WWW
An FPGA-based point target detection system using morphological clutter elimination.,ISCAS,ISCAS
Why is 3-D interaction so hard and what can we really do about it?,SIGGRAPH,SIGGRAPH
A high performance pseudo-multi-core ECC processor over GF(2<sup>163</sup>).,ISCAS,ISCAS
Locating sensors in the forest: A case study in GreenOrbs.,INFOCOM,ISCAS
Flash finally hits the big screen.,SIGGRAPH,SIGGRAPH
SHARC: Framework for Quality-Conscious Web Archiving.,VLDB,WWW
"Pricing, Competition, and Routing for Selfish and Strategic Nodes in Multi-Hop Relay Networks.",INFOCOM,INFOCOM
An Adaptive Hash Join Algorithm for Multiuser Environments.,VLDB,INFOCOM
Upward Max Min Fairness.,INFOCOM,WWW
Channel assignment in dense MC-MR wireless networks: Scaling laws and algorithms.,INFOCOM,INFOCOM
Creating a billion-scale searchable web archive.,WWW,WWW
Hyperqueries: Dynamic Distributed Query Processing on the Internet.,VLDB,VLDB
WIC: A General-Purpose Algorithm for Monitoring Web Information Sources.,VLDB,WWW
